,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall
25,https://livemint.com,FINANCE,US,AZ,10.6,11.9,12.64,47.18,9.0,13.0,13.0,7.23
26,https://businessinsider.com,FINANCE,US,AZ,11.6,13.7,11.95,49.75,10.62,13.9,12.0,6.9
27,https://bankbazaar.com,FINANCE,US,AZ,12.8,15.0,13.34,41.4,10.35,15.0,15.0,6.51
28,https://hangikredi.com,FINANCE,US,AZ,13.8,16.4,13.76,38.76,12.29,15.0,14.0,7.33
29,https://wise.com,FINANCE,US,CA,10.3,11.8,12.69,47.89,9.82,12.9,13.0,7.9
30,https://tradingview.com,FINANCE,US,CA,13.2,14.8,12.71,40.18,10.28,14.9,15.0,6.0
31,https://paypal.com,FINANCE,US,CA,10.7,12.6,11.95,52.19,9.88,13.4,11.0,6.64
32,https://coinmarketcap.com,FINANCE,US,CA,12.4,14.7,13.52,42.31,9.71,14.2,14.0,6.13
33,https://intuit.com,FINANCE,US,CA,8.5,10.3,10.44,63.19,9.31,11.3,11.0,7.63
34,https://coinbase.com,FINANCE,US,CA,9.9,10.7,12.23,49.01,10.02,12.2,11.0,8.28
35,https://schwab.com,FINANCE,US,CA,8.7,10.4,11.65,57.47,9.51,11.5,10.0,8.46
36,https://wellsfargo.com,FINANCE,US,CA,10.5,12.0,12.87,47.28,9.39,13.0,11.0,7.32
37,https://experian.com,FINANCE,US,CA,10.5,11.8,13.5,41.87,7.83,12.9,8.0,6.85
38,https://creditkarma.com,FINANCE,US,CA,11.4,13.3,14.38,39.53,8.34,13.9,14.0,6.53
39,https://forbes.com,FINANCE,US,NY,12.0,14.4,13.87,43.53,9.44,14.7,15.0,6.16
40,https://investopedia.com,FINANCE,US,NY,13.1,15.0,12.82,40.48,10.49,15.0,15.0,6.28
41,https://americanexpress.com,FINANCE,US,NY,8.8,10.2,11.3,57.06,10.64,12.0,12.0,9.89
42,https://finance.yahoo.com,FINANCE,US,VA,8.1,9.2,9.57,64.3,8.18,10.6,8.0,6.97
43,https://capitalone.com,FINANCE,US,VA,12.4,14.9,13.69,42.41,10.52,14.7,15.0,7.03
44,https://cnbc.com,FINANCE,US,NJ,8.7,10.5,12.86,51.95,7.9,11.9,8.0,7.88
45,https://bankrate.com,FINANCE,US,ID,8.4,10.5,10.61,63.59,8.85,11.8,11.0,8.0
46,https://bankofamerica.com,FINANCE,US,NC,8.0,9.8,10.03,64.51,7.93,11.3,8.0,6.24
47,https://chase.com,FINANCE,US,DE,11.2,12.9,12.99,45.46,9.11,13.7,13.0,6.58
48,https://westernunion.com,FINANCE,US,CO,6.7,8.0,9.73,67.96,7.48,9.5,8.0,7.15
49,https://nasdaq.com,FINANCE,US,CT,9.4,11.3,11.95,55.54,9.75,11.2,10.0,8.33
50,https://discover.com,FINANCE,US,IL,12.5,14.6,13.4,42.0,10.13,14.8,15.0,6.27
51,https://fidelity.com,FINANCE,US,MA,11.3,13.6,13.74,45.15,10.66,14.1,14.0,7.96
52,https://pnc.com,FINANCE,US,PA,10.2,12.0,13.04,48.09,9.08,12.8,13.0,7.53
53,https://usbank.com,FINANCE,US,MN,9.0,10.9,11.77,56.55,8.48,12.4,9.0,7.11
54,https://microsoft.com,COMPUTERS AND ELECTRONICS,US,WA,8.6,9.8,11.63,52.36,7.66,11.3,8.0,7.54
55,https://apple.com,COMPUTERS AND ELECTRONICS,US,CA,11.2,13.9,12.76,50.87,8.87,13.5,14.0,1.74
56,https://github.com,COMPUTERS AND ELECTRONICS,US,CA,9.8,11.5,11.77,54.63,9.26,12.0,12.0,7.4
57,https://hp.com,COMPUTERS AND ELECTRONICS,US,CA,12.6,14.4,14.32,36.59,9.55,13.8,14.0,6.81
58,https://icloud.com,COMPUTERS AND ELECTRONICS,US,CA,13.4,15.4,13.12,39.67,11.08,15.2,13.0,6.44
59,https://oracle.com,COMPUTERS AND ELECTRONICS,US,CA,12.2,13.8,13.0,43.02,10.23,14.4,13.0,6.8
60,https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,14.1,15.4,13.75,32.63,11.04,16.1,14.0,6.9
61,https://autodesk.com,COMPUTERS AND ELECTRONICS,US,CA,10.7,12.8,12.18,52.19,9.18,12.8,13.0,6.15
62,https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,12.0,14.4,13.92,43.43,9.96,14.7,12.0,6.56
63,https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,10.7,12.8,12.18,52.19,9.17,12.8,13.0,6.15
64,https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,11.2,12.6,12.64,45.56,10.36,13.7,13.0,8.06
65,https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,11.8,13.6,13.17,43.83,10.17,14.5,14.0,6.87
66,https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,10.3,12.4,11.89,53.21,11.51,12.6,12.0,8.96
67,https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,11.9,13.3,12.53,43.73,10.99,13.9,11.0,7.64
68,https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,12.1,14.4,12.07,48.43,10.61,13.8,11.0,6.2
69,https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,12.2,14.3,14.9,37.4,9.05,14.3,15.0,6.56
70,https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,9.8,12.0,10.62,59.94,9.79,12.2,10.0,7.15
71,https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,11.7,12.9,12.59,44.14,9.41,13.5,13.0,6.29
72,https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,6.9,8.2,9.5,67.45,9.19,10.4,9.0,8.8
73,https://loveandlemons.com,FOOD AND DRINK,US,AZ,11.5,13.4,15.59,34.02,10.4,12.7,12.0,9.66
74,https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,10.5,13.7,14.73,47.28,10.22,13.5,11.0,8.44
75,https://thekitchn.com,FOOD AND DRINK,US,AZ,11.8,13.4,13.0,43.83,10.63,14.0,11.0,7.26
76,https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,5.6,6.6,8.9,70.9,5.81,7.2,6.0,8.75
77,https://swiggy.com,FOOD AND DRINK,US,AZ,12.4,14.9,13.75,42.41,11.49,14.5,12.0,7.77
78,https://natashaskitchen.com,FOOD AND DRINK,US,AZ,8.8,14.4,15.15,46.44,13.2,0.0,14.0,13.9
79,https://downshiftology.com,FOOD AND DRINK,US,AZ,11.4,12.5,12.29,45.05,9.81,13.2,11.0,7.57
80,https://rentcafe.com,REAL ESTATE,US,ID,10.9,12.7,11.66,51.58,10.64,13.5,11.0,7.44
81,https://apartments.com,REAL ESTATE,US,DC,7.6,9.3,10.37,65.62,8.84,10.6,8.0,7.53
82,https://homes.com,REAL ESTATE,US,DC,14.3,16.5,14.74,32.12,10.14,15.6,15.0,5.91
83,https://realtor.com,REAL ESTATE,US,FL,14.1,16.4,14.79,32.53,10.06,15.7,15.0,5.94
84,https://redfin.com,REAL ESTATE,US,AZ,10.0,11.2,12.35,48.7,8.79,12.6,11.0,7.46
85,https://aplaceformom.com,REAL ESTATE,US,AZ,8.5,9.9,9.63,63.29,8.92,11.2,9.0,7.29
86,https://valuecom.com,REAL ESTATE,US,AZ,12.3,14.8,13.69,42.61,10.69,14.8,11.0,6.94
87,https://housing.com,REAL ESTATE,US,CO,10.6,11.6,12.7,47.08,10.31,13.8,11.0,8.57
88,https://remax.com,REAL ESTATE,US,CO,5.9,6.6,8.85,70.19,7.35,9.6,7.0,8.65
89,https://rent.com,REAL ESTATE,US,GA,13.5,15.5,14.5,34.26,10.81,14.8,15.0,6.99
